,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__learning_rate_init,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,mean_test_recall,std_test_recall,rank_test_recall
111,30.680878843579972,5.224065840457124,0.04092461722237723,0.010268094448785072,relu,0.0001,"(80,)",constant,0.0001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (80,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001}",0.324546553808948,0.4527363184079602,0.6077248813037341,0.6422053720601465,0.6622646443514645,0.5165304379651092,0.5631369624658216,0.5384493100518835,0.11025016059825911,85,0.5162203943095962,0.4868685768521616,0.6264977737929067,0.4975354978374408,0.6218880040177931,0.5003984802315656,0.46374897341214105,0.5304511000648008,0.06108938507680087,49,0.3,0.06779661016949154,0.6082276047673971,0.12010113780025283,0.47467968273337413,0.08917490232130544,0.20385050962627407,0.26626149248829933,0.19180466285727873,13,0.5005176812001685,0.4504975143730697,0.6654633940912966,0.4790282621282096,0.6536901142559908,0.5052901007615532,0.43476065518746765,0.5270353888568222,0.08706084522071948,43,0.3389934624642611,0.3195661552585604,0.6078118874074928,0.5597501300307166,0.6343049241835115,0.3904493769219775,0.5347989627171511,0.483667842711953,0.12133536907126435,43,0.18389921646950377,0.4050632911392405,0.7351301115241635,0.3150912106135987,0.6925816023738872,0.48621553884711777,0.2575844304522038,0.4393664859171022,0.19592934071338844,31,0.8137321549966009,0.03699421965317919,0.5186885245901639,0.0741897696212417,0.36107673267326734,0.04908906882591093,0.1686656671664168,0.2889194482181115,0.2712362222300536,4
112,30.85791836466108,5.715421538051534,0.042028801781790595,0.010611471644022624,relu,0.0001,"(80,)",invscaling,0.0001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (80,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.0001}",0.324546553808948,0.4527363184079602,0.6077248813037341,0.6422053720601465,0.6622646443514645,0.5165304379651092,0.5631369624658216,0.5384493100518835,0.11025016059825911,85,0.5162203943095962,0.4868685768521616,0.6264977737929067,0.4975354978374408,0.6218880040177931,0.5003984802315656,0.46374897341214105,0.5304511000648008,0.06108938507680087,49,0.3,0.06779661016949154,0.6082276047673971,0.12010113780025283,0.47467968273337413,0.08917490232130544,0.20385050962627407,0.26626149248829933,0.19180466285727873,13,0.5005176812001685,0.4504975143730697,0.6654633940912966,0.4790282621282096,0.6536901142559908,0.5052901007615532,0.43476065518746765,0.5270353888568222,0.08706084522071948,43,0.3389934624642611,0.3195661552585604,0.6078118874074928,0.5597501300307166,0.6343049241835115,0.3904493769219775,0.5347989627171511,0.483667842711953,0.12133536907126435,43,0.18389921646950377,0.4050632911392405,0.7351301115241635,0.3150912106135987,0.6925816023738872,0.48621553884711777,0.2575844304522038,0.4393664859171022,0.19592934071338844,31,0.8137321549966009,0.03699421965317919,0.5186885245901639,0.0741897696212417,0.36107673267326734,0.04908906882591093,0.1686656671664168,0.2889194482181115,0.2712362222300536,4
113,31.099184104374476,5.3062699235082915,0.04096228735787528,0.010654018225727585,relu,0.0001,"(80,)",adaptive,0.0001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (80,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001}",0.324546553808948,0.4527363184079602,0.6077248813037341,0.6422053720601465,0.6622646443514645,0.5165304379651092,0.5631369624658216,0.5384493100518835,0.11025016059825911,85,0.5162203943095962,0.4868685768521616,0.6264977737929067,0.4975354978374408,0.6218880040177931,0.5003984802315656,0.46374897341214105,0.5304511000648008,0.06108938507680087,49,0.3,0.06779661016949154,0.6082276047673971,0.12010113780025283,0.47467968273337413,0.08917490232130544,0.20385050962627407,0.26626149248829933,0.19180466285727873,13,0.5005176812001685,0.4504975143730697,0.6654633940912966,0.4790282621282096,0.6536901142559908,0.5052901007615532,0.43476065518746765,0.5270353888568222,0.08706084522071948,43,0.3389934624642611,0.3195661552585604,0.6078118874074928,0.5597501300307166,0.6343049241835115,0.3904493769219775,0.5347989627171511,0.483667842711953,0.12133536907126435,43,0.18389921646950377,0.4050632911392405,0.7351301115241635,0.3150912106135987,0.6925816023738872,0.48621553884711777,0.2575844304522038,0.4393664859171022,0.19592934071338844,31,0.8137321549966009,0.03699421965317919,0.5186885245901639,0.0741897696212417,0.36107673267326734,0.04908906882591093,0.1686656671664168,0.2889194482181115,0.2712362222300536,4
114,36.10107782908848,3.727777972018148,0.043408257620675225,0.01169697400159538,relu,0.0001,"(90,)",constant,0.0001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (90,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001}",0.3178960096735187,0.44527363184079605,0.6031053509559862,0.6428479629867626,0.6609571129707112,0.5184823715993656,0.6030325627641064,0.5416564289701781,0.11458670163034934,70,0.52469481805868,0.4799321606671905,0.6222868292086522,0.49652266311202076,0.6211705409671402,0.5021957244293119,0.4800885862386769,0.5324130460973818,0.05819678364334707,31,0.3060647066059786,0.04291845493562232,0.6023910528345545,0.11185682326621922,0.475843945825753,0.08528389339513325,0.16123949579831934,0.2550854818087972,0.1982506656085982,37,0.501667728358901,0.4389850551194579,0.6670275465533695,0.4706820252505532,0.6475518815468503,0.5155233830703423,0.43652021144503983,0.5254225473349307,0.0878321655217423,49,0.32519228467189365,0.30469594744047696,0.6029799118981557,0.5577305061008104,0.6338224454125992,0.3897673009581709,0.5480781662870857,0.4803237946813132,0.12666052344255505,49,0.18684289576449384,0.29850746268656714,0.7312734082397003,0.30809859154929575,0.6862973760932944,0.5068870523415978,0.2692982456140351,0.4267435760412835,0.1997827649501091,52,0.8456832087015635,0.023121387283236993,0.5121311475409837,0.06833268254588051,0.36417079207920794,0.0465587044534413,0.11506746626686656,0.2821521984101686,0.28621218774549906,10
115,35.5955479826246,3.9299914003981216,0.04414980752127511,0.011466082365808221,relu,0.0001,"(90,)",invscaling,0.0001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (90,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.0001}",0.3178960096735187,0.44527363184079605,0.6031053509559862,0.6428479629867626,0.6609571129707112,0.5184823715993656,0.6030325627641064,0.5416564289701781,0.11458670163034934,70,0.52469481805868,0.4799321606671905,0.6222868292086522,0.49652266311202076,0.6211705409671402,0.5021957244293119,0.4800885862386769,0.5324130460973818,0.05819678364334707,31,0.3060647066059786,0.04291845493562232,0.6023910528345545,0.11185682326621922,0.475843945825753,0.08528389339513325,0.16123949579831934,0.2550854818087972,0.1982506656085982,37,0.501667728358901,0.4389850551194579,0.6670275465533695,0.4706820252505532,0.6475518815468503,0.5155233830703423,0.43652021144503983,0.5254225473349307,0.0878321655217423,49,0.32519228467189365,0.30469594744047696,0.6029799118981557,0.5577305061008104,0.6338224454125992,0.3897673009581709,0.5480781662870857,0.4803237946813132,0.12666052344255505,49,0.18684289576449384,0.29850746268656714,0.7312734082397003,0.30809859154929575,0.6862973760932944,0.5068870523415978,0.2692982456140351,0.4267435760412835,0.1997827649501091,52,0.8456832087015635,0.023121387283236993,0.5121311475409837,0.06833268254588051,0.36417079207920794,0.0465587044534413,0.11506746626686656,0.2821521984101686,0.28621218774549906,10
116,35.69817417008536,3.205873425540969,0.04354149954659598,0.011204191111838173,relu,0.0001,"(90,)",adaptive,0.0001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (90,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001}",0.3178960096735187,0.44527363184079605,0.6031053509559862,0.6428479629867626,0.6609571129707112,0.5184823715993656,0.6030325627641064,0.5416564289701781,0.11458670163034934,70,0.52469481805868,0.4799321606671905,0.6222868292086522,0.49652266311202076,0.6211705409671402,0.5021957244293119,0.4800885862386769,0.5324130460973818,0.05819678364334707,31,0.3060647066059786,0.04291845493562232,0.6023910528345545,0.11185682326621922,0.475843945825753,0.08528389339513325,0.16123949579831934,0.2550854818087972,0.1982506656085982,37,0.501667728358901,0.4389850551194579,0.6670275465533695,0.4706820252505532,0.6475518815468503,0.5155233830703423,0.43652021144503983,0.5254225473349307,0.0878321655217423,49,0.32519228467189365,0.30469594744047696,0.6029799118981557,0.5577305061008104,0.6338224454125992,0.3897673009581709,0.5480781662870857,0.4803237946813132,0.12666052344255505,49,0.18684289576449384,0.29850746268656714,0.7312734082397003,0.30809859154929575,0.6862973760932944,0.5068870523415978,0.2692982456140351,0.4267435760412835,0.1997827649501091,52,0.8456832087015635,0.023121387283236993,0.5121311475409837,0.06833268254588051,0.36417079207920794,0.0465587044534413,0.11506746626686656,0.2821521984101686,0.28621218774549906,10
117,38.11674094200134,4.099209561131894,0.04570041384015765,0.011669492498041122,relu,0.0001,"(100,)",constant,0.0001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001}",0.3022974607013301,0.4527363184079602,0.6279994867188502,0.6388638992417427,0.6648797071129707,0.5178723923386604,0.5709669400944569,0.5393737435165673,0.11872910692476325,79,0.5197363270421361,0.486678751196135,0.6382351662608211,0.4989236573955636,0.6240695401061845,0.501720319928661,0.4658287721145006,0.5335989334348574,0.0636269964959479,25,0.30414857694163044,0.07172995780590719,0.6465065235946835,0.14014687882496943,0.4761904761904762,0.09065807639208467,0.19194756554307116,0.27447543647040323,0.19990217041826397,1,0.5144564287406204,0.44793953586071156,0.6764136839567053,0.4916025977639841,0.6675719733148586,0.5306467957063085,0.42965831141699506,0.5368984752514547,0.09145541275792211,28,0.3010967487850344,0.32136640042259623,0.6303777098732396,0.563654743893386,0.636384966963087,0.3917080052090193,0.5368487831974454,0.4830624797634012,0.13212571444536947,46,0.1848702536285002,0.40963855421686746,0.7311086596800882,0.32390381895332393,0.7013847080072245,0.5,0.25561097256857856,0.44378813815065465,0.19641661587793297,19,0.8572399728076139,0.03930635838150289,0.5794535519125683,0.08941819601718079,0.3604579207920792,0.04984817813765182,0.15367316341829085,0.3041996202095554,0.289934900457323,1
118,36.10926015036447,5.048262309452124,0.03591724804469517,0.012532738338174558,relu,0.0001,"(100,)",invscaling,0.0001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.0001}",0.3022974607013301,0.4527363184079602,0.6279994867188502,0.6388638992417427,0.6648797071129707,0.5178723923386604,0.5709669400944569,0.5393737435165673,0.11872910692476325,79,0.5197363270421361,0.486678751196135,0.6382351662608211,0.4989236573955636,0.6240695401061845,0.501720319928661,0.4658287721145006,0.5335989334348574,0.0636269964959479,25,0.30414857694163044,0.07172995780590719,0.6465065235946835,0.14014687882496943,0.4761904761904762,0.09065807639208467,0.19194756554307116,0.27447543647040323,0.19990217041826397,1,0.5144564287406204,0.44793953586071156,0.6764136839567053,0.4916025977639841,0.6675719733148586,0.5306467957063085,0.42965831141699506,0.5368984752514547,0.09145541275792211,28,0.3010967487850344,0.32136640042259623,0.6303777098732396,0.563654743893386,0.636384966963087,0.3917080052090193,0.5368487831974454,0.4830624797634012,0.13212571444536947,46,0.1848702536285002,0.40963855421686746,0.7311086596800882,0.32390381895332393,0.7013847080072245,0.5,0.25561097256857856,0.44378813815065465,0.19641661587793297,19,0.8572399728076139,0.03930635838150289,0.5794535519125683,0.08941819601718079,0.3604579207920792,0.04984817813765182,0.15367316341829085,0.3041996202095554,0.289934900457323,1
119,29.214059489113943,3.756232045569619,0.023968287876674106,0.006785139291905248,relu,0.0001,"(100,)",adaptive,0.0001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001}",0.3022974607013301,0.4527363184079602,0.6279994867188502,0.6388638992417427,0.6648797071129707,0.5178723923386604,0.5709669400944569,0.5393737435165673,0.11872910692476325,79,0.5197363270421361,0.486678751196135,0.6382351662608211,0.4989236573955636,0.6240695401061845,0.501720319928661,0.4658287721145006,0.5335989334348574,0.0636269964959479,25,0.30414857694163044,0.07172995780590719,0.6465065235946835,0.14014687882496943,0.4761904761904762,0.09065807639208467,0.19194756554307116,0.27447543647040323,0.19990217041826397,1,0.5144564287406204,0.44793953586071156,0.6764136839567053,0.4916025977639841,0.6675719733148586,0.5306467957063085,0.42965831141699506,0.5368984752514547,0.09145541275792211,28,0.3010967487850344,0.32136640042259623,0.6303777098732396,0.563654743893386,0.636384966963087,0.3917080052090193,0.5368487831974454,0.4830624797634012,0.13212571444536947,46,0.1848702536285002,0.40963855421686746,0.7311086596800882,0.32390381895332393,0.7013847080072245,0.5,0.25561097256857856,0.44378813815065465,0.19641661587793297,19,0.8572399728076139,0.03930635838150289,0.5794535519125683,0.08941819601718079,0.3604579207920792,0.04984817813765182,0.15367316341829085,0.3041996202095554,0.289934900457323,1
