,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_trans__kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall
9,1741.6381968736648,75.28298581238673,85.64111504554748,5.003026812087727,10,,rbf,"{'clf__C': 10, 'clf__class_weight': None, 'trans__kernel': 'rbf'}",0.6775793650793651,0.6847222222222222,0.6654761904761904,0.6808890652907323,0.6711649136733479,0.675927763445128,0.670172653304227,0.6707680095256996,0.6802937090692598,0.6671958721968645,0.6744189764283037,0.006073650477290836,1,0.5774682720611674,0.5819902074261258,0.562817484942415,0.5777499414418543,0.5662432120387026,0.5741393296178317,0.5703577599007695,0.5722662452591656,0.5786001843221541,0.5737376115674827,0.5735370248577668,0.0055725138309208,9,0.30939226519337015,0.31890270038576934,0.2788708297690334,0.30689655172413793,0.27736589620584384,0.30004286326618085,0.2823834196891192,0.2973316391359594,0.314759676733305,0.30154102457309456,0.29874868666758136,0.014049428794410018,9,0.6325766101477658,0.6467331353703718,0.6420241175475054,0.64324069264951,0.6370588354969474,0.6394066713068101,0.6517550993364565,0.6434838600927095,0.6616942827181165,0.647241780873074,0.6445215085539268,0.007700701237363327,5,0.6125379012066612,0.6213046905549502,0.5973633369493806,0.6149414294878061,0.6000939285041965,0.6091954538588075,0.5974309470244541,0.6035523663390534,0.6173293248271017,0.5999900639388028,0.6073739442691214,0.008376316042094828,2,0.7368421052631579,0.7515151515151515,0.6694045174537988,0.7478991596638656,0.7162162162162162,0.7306889352818372,0.7604651162790698,0.7222222222222222,0.7254901960784313,0.7313131313131314,0.7292056751286882,0.02386785738258601,3,0.1958041958041958,0.20239390642002175,0.17612101566720692,0.19305856832971802,0.1719848566792861,0.18878101402373246,0.17338282078472958,0.1872,0.20097772949483977,0.18992654774396642,0.18796306549476968,0.01038414912584367,9
10,1454.1227167367936,84.03727301290913,93.7884792804718,6.213026486442189,10,,sigmoid,"{'clf__C': 10, 'clf__class_weight': None, 'trans__kernel': 'sigmoid'}",0.6343253968253968,0.6611111111111111,0.6347222222222222,0.6314744989085136,0.6358404445326453,0.6433816233379639,0.6245286763246676,0.6531057749553483,0.6554871998412384,0.6199642786267117,0.639394122668582,0.01286814799675411,6,0.5063154024898033,0.5452145319947612,0.5058746308344171,0.4985388469646512,0.5052636263607712,0.5185278044501346,0.4999007829403161,0.5434268857985672,0.538197590223928,0.49907736718659207,0.5160337469243942,0.018074486902842222,14,0.035583464154892726,0.20112254443405053,0.0396452790818988,0.005356186395286556,0.028586553732133407,0.0864260294865277,0.008385744234800839,0.19742883379247017,0.17880794701986755,0.005194805194805195,0.07865373875267336,0.07796612992442187,14,0.5979225596302955,0.6206483774082983,0.5921496418926553,0.5963183051066098,0.5952972122523231,0.6007349716087581,0.5983320939609098,0.594013653603034,0.6161195600590945,0.5981818967367987,0.6009718272258777,0.009059967614714174,14,0.5018824206550454,0.5720324891582882,0.504596981072464,0.4926166926624307,0.5016943597288689,0.5238329007519265,0.48395457284663673,0.5624318317264818,0.561635734695092,0.4776767775392583,0.5182354760836494,0.033114800308841896,14,0.6538461538461539,0.7166666666666667,0.5757575757575758,0.21739130434782608,0.675,0.7522123893805309,0.36363636363636365,0.7095709570957096,0.6923076923076923,0.2631578947368421,0.5619546997775362,0.19174557843113296,6,0.01828940290478752,0.11697497279651796,0.020529443544030253,0.0027114967462039045,0.014602487831260141,0.04584681769147789,0.0042417815482502655,0.11466666666666667,0.10266159695817491,0.0026232948583420775,0.04431479615457115,0.0456468299757407,14
11,1472.4802356004716,82.7405348821276,88.03016653060914,3.3784516117039933,10,,poly,"{'clf__C': 10, 'clf__class_weight': None, 'trans__kernel': 'poly'}",0.6446428571428572,0.6462301587301588,0.641468253968254,0.6489382814050407,0.6445723357809089,0.6483429251835682,0.6392141297876562,0.642389362968843,0.6477475689620956,0.6364358007541179,0.64399816746835,0.00390040840143074,5,0.5230958797689144,0.5216830952363152,0.5187989203161394,0.5254957074333201,0.521936368213946,0.5275240093547999,0.5232476501532484,0.5234863042562158,0.5231110121446763,0.5238301176689668,0.5232209064546541,0.002184725961298927,13,0.11028315946348732,0.1124937779990045,0.10411502231036192,0.11946241911398706,0.11204759543877045,0.1279527559055118,0.11403508771929824,0.10880316518298715,0.11116675012518779,0.11326234269119072,0.1133622075949787,0.00611259086332336,13,0.6065660332944447,0.6144309969489962,0.6083548949920539,0.6057313997263892,0.6005507509778224,0.6025370068365907,0.6107722316001963,0.5923145385587864,0.6164835504536886,0.6033613341242013,0.606110273751317,0.006674715352374302,12,0.5317033152383914,0.5359912110559134,0.5291725581548411,0.5387647812455811,0.5335223310029491,0.5399444758037494,0.5266664158133758,0.5279359183593646,0.5358630646012259,0.5224242109166403,0.5321988282192033,0.005351581314341731,13,0.7207792207792207,0.6608187134502924,0.6325301204819277,0.7272727272727273,0.6726190476190477,0.7303370786516854,0.7048192771084337,0.7482993197278912,0.7115384615384616,0.73125,0.7040263966629688,0.034980880539500436,5,0.05970952124798279,0.06147986942328618,0.05672609400324149,0.0650759219088937,0.061114115738236885,0.07011866235167206,0.06203605514316013,0.058666666666666666,0.060293318848451925,0.061385099685204614,0.061660532501679646,0.0035034350329171964,13
12,1867.1863074541093,90.92307617621233,99.34585540294647,7.389507526786423,10,balanced,linear,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'trans__kernel': 'linear'}",0.5880952380952381,0.5912698412698413,0.5902777777777778,0.5917840841436793,0.5850367136336575,0.584441357412185,0.592577892438976,0.5840444532645366,0.5921809882913276,0.5937686048819211,0.589347695120914,0.0034763715701682982,11,0.60226103787635,0.6105348330307704,0.6018828397657465,0.6048261247407317,0.6008681300236847,0.6020729925029509,0.6072152159282731,0.6015262536873156,0.6118640316683532,0.606433846247625,0.60494853054718,0.0037368620917564346,3,0.5403011514614703,0.5488392466053438,0.5364758698092031,0.5395119767181553,0.5387160820648577,0.5421950153038915,0.5500767039228578,0.545138888888889,0.5510159493117762,0.5508009655475093,0.5443071849633954,0.005270568132535906,2,0.6499103996141697,0.6612617658033371,0.6505532337914011,0.6542431741570173,0.6467114309013937,0.6534178720031701,0.6580296534566719,0.6494764433206911,0.6634306680675965,0.651593117840783,0.6538627758956231,0.005158512060358493,3,0.5949499615197074,0.5981184501293629,0.5974800598578377,0.5990412525066241,0.5920119575218356,0.5910884017918692,0.5986737111363921,0.590147007969163,0.5988784450967627,0.599566629026847,0.5959955876556402,0.0034564552156014865,4,0.4591644712081295,0.4593108504398827,0.4589093701996928,0.45939763629431946,0.45491803278688525,0.45588235294117646,0.46880836757564437,0.4595682400292719,0.4608918128654971,0.47340626178800455,0.4610257396128504,0.005415554290481848,9,0.656266810112964,0.6817192600652884,0.6455969746083198,0.653470715835141,0.6603569497025419,0.668824163969795,0.6654294803817603,0.6698666666666667,0.6849538294405214,0.6584470094438615,0.664493186022686,0.011678114081081964,4
13,1943.3633742809295,72.46223261414606,92.86314635276794,3.859111902343658,10,balanced,rbf,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'trans__kernel': 'rbf'}",0.604563492063492,0.602579365079365,0.6136904761904762,0.6211549910696567,0.6090494145663822,0.6066679896804922,0.6163921412978766,0.606469537606668,0.6102401270093273,0.6205596348481842,0.6111367169411921,0.00621809228805734,9,0.6004407050401295,0.6050661005533131,0.6076903842371442,0.6156045576908062,0.6096027506183974,0.6028629176340687,0.6155914900687087,0.6106922882427307,0.6149130244697341,0.6176021494104159,0.6100066367965449,0.005632394662645736,1,0.5217182625389969,0.5299225533912227,0.5266229029905178,0.5347306848647331,0.5344990548204158,0.5240153698366955,0.5444261135988687,0.542560553633218,0.5424044734389563,0.5469194312796207,0.5347819400393246,0.00857778235435441,5,0.6509424485992087,0.6647904023532626,0.6561930623552497,0.6660437437835012,0.6609100742416049,0.6548060199932599,0.6677382949935072,0.6639585335018963,0.6719787523367231,0.6677843649951821,0.6625145697153395,0.006326293566957719,1,0.6108542933583505,0.609883753262483,0.6196875890755412,0.6271576834671536,0.6158591805780732,0.6130409343285766,0.6222012242535291,0.6129795072435247,0.6173918291658994,0.6256885530892176,0.6174744547822348,0.00576540131623371,1,0.47097053726169846,0.46595130004127117,0.47877984084880637,0.4856131031429836,0.4746118338229123,0.47229437229437227,0.4900296987696224,0.47804878048780486,0.4749082007343941,0.49870354364736386,0.4789911211051229,0.009328851106590506,7,0.584722969338354,0.6142546245919478,0.5850891410048622,0.5949023861171366,0.6116819902650081,0.5884573894282632,0.612407211028632,0.6272,0.6322650733297122,0.6054564533053515,0.6056437238409267,0.016126601204085544,8
14,1871.0015198945998,65.55088759855893,99.51397144794464,9.828296780638878,10,balanced,sigmoid,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'trans__kernel': 'sigmoid'}",0.5759920634920634,0.5825396825396826,0.5813492063492064,0.5707481643183171,0.5628100813653503,0.5814645763048224,0.556658067076801,0.5792816034927565,0.5788846993451081,0.5649930541774162,0.5734721198461525,0.008679001680502658,13,0.5854072534966304,0.6055182458732606,0.5806604245855258,0.5857152919929798,0.5788798825426267,0.5923926204786121,0.5840520684402641,0.5986026970080067,0.5979314203370588,0.584525943071571,0.5893685847826535,0.008337550442296627,5,0.5194513154935911,0.5467470917707884,0.503529411764706,0.5224111282843895,0.517626450624042,0.5270239964117515,0.5391914191419142,0.5438898450946643,0.5370855148342059,0.5361828184511214,0.5293138991871175,0.012934908458728992,6,0.6181377324583379,0.6558960021586073,0.6227383128694514,0.624212180773239,0.6132503208546176,0.6346476454659533,0.6299317184831965,0.6396239359460598,0.6486208619659423,0.613597124205685,0.630065583518109,0.013813298876162717,7,0.5833093376427623,0.5888978367660069,0.5886640000768748,0.5780740694011308,0.5699348454942192,0.5887407598783578,0.5602515877609191,0.5851346051578553,0.5857472520260025,0.5699131878571309,0.579866748206126,0.009473999260979362,7,0.44629057187017,0.45256776034236806,0.4460191746561067,0.44059590316573555,0.434878587196468,0.4510556621880998,0.4412559081701553,0.4558240173097728,0.44877870944221654,0.449290780141844,0.4466557074482937,0.005957673556148094,11,0.621301775147929,0.690424374319913,0.5780659103187467,0.6415401301518439,0.6392644672796106,0.633764832793959,0.693001060445387,0.6741333333333334,0.6686583378598587,0.6647429171038824,0.6504897138754464,0.03328247448547901,6
15,1324.4518975973128,61.76371149669544,57.09465851783752,13.694319204275864,10,balanced,poly,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'trans__kernel': 'poly'}",0.549404761904762,0.5464285714285714,0.55,0.5570549712244492,0.5459416550902957,0.5471323675332407,0.5505060527882516,0.5511014090097242,0.5459416550902957,0.5532843818217901,0.5496795825891381,0.003395222440370782,16,0.5799936889942452,0.5870643959603594,0.5845615982411175,0.5932619942358417,0.581130696758902,0.5856329985317502,0.5859541771895608,0.5895253265908134,0.5870746382431442,0.5883632549152658,0.5862562769661,0.0036656806231254407,6,0.5328121785640815,0.5424339471577262,0.5384615384615384,0.5461569743798292,0.5355257815671944,0.5430516619943933,0.5476333133612943,0.550833995234313,0.5434956105347166,0.5536387071187784,0.5434043708373865,0.006206242721643452,3,0.6153363358523806,0.6375140265299367,0.6187802174512976,0.6310011915309646,0.6171805991885811,0.6298820150415156,0.6382597294098535,0.6226528445006322,0.6336065554279409,0.6300325312007138,0.6274246046133817,0.007947364429031918,8,0.5530386616477008,0.5474657280055808,0.5527070490485124,0.5596527495420621,0.5484243205961901,0.5481645837651364,0.5512056846542135,0.5511696149032543,0.5465838262823446,0.5531977533330923,0.5511609971778088,0.0036503370399122567,12,0.43137908061292474,0.42906903103229893,0.43192948090107736,0.4368900455432661,0.4286642833929152,0.4318471337579618,0.43928228132008973,0.438785194558684,0.4295175023651845,0.44501115715651895,0.43423751906409214,0.005181723531461351,12,0.6966110812264659,0.7372143634385201,0.7147487844408428,0.7283080260303688,0.7133585722011898,0.7313915857605178,0.7269353128313892,0.7397333333333334,0.7398153177620859,0.7324239244491081,0.7260540301473821,0.013159947171982237,1
