,params,rank_test_f1,mean_test_f1
0,"{'subsample': 0.6, 'scale_sqrt': 4, 'reg_lambda': 0.1, 'reg_alpha': 0.05, 'n_estimators': 150, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 0}",1,0.6808012083618309
1,"{'subsample': 0.8, 'scale_sqrt': 3, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 15, 'learning_rate': 0.2, 'gamma': 0.5}",4,0.6473072619139041
2,"{'subsample': 1.0, 'scale_sqrt': 3, 'reg_lambda': 0.05, 'reg_alpha': 0.05, 'n_estimators': 300, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.5}",2,0.6613447504311908
3,"{'subsample': 0.8, 'scale_sqrt': 3, 'reg_lambda': 0.05, 'reg_alpha': 0.01, 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 15, 'learning_rate': 0.2, 'gamma': 0.5}",3,0.649024328863501
4,"{'subsample': 1.0, 'scale_sqrt': 2, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 250, 'min_child_weight': 2, 'max_depth': 30, 'learning_rate': 0.25, 'gamma': 1}",6,0.63397019376406
5,"{'subsample': 0.6, 'scale_sqrt': 2, 'reg_lambda': 0.0001, 'reg_alpha': 0.0001, 'n_estimators': 250, 'min_child_weight': 10, 'max_depth': 20, 'learning_rate': 0.05, 'gamma': 0.5}",5,0.6398469812824108
6,"{'subsample': 1.0, 'scale_sqrt': 2, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.05, 'gamma': 0}",7,0.6338312782924019
