,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_trans__kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0,1040.7985960074834,145.4288944424343,140.48865049225944,46.936412068330746,1,,linear,"{'clf__C': 1, 'clf__class_weight': None, 'trans__kernel': 'linear'}",0.7686819830713422,0.4657960199004975,0.5479276273578852,0.6565994088163475,0.6754707112970711,0.5217762596071733,0.6620681083768332,0.6140457312038786,0.09758922562397872,2,0.545540047727657,0.5029936439524191,0.6010545870733952,0.49931289561518866,0.6244888075764098,0.504886911489106,0.5011134261801788,0.5399129028020506,0.04879500222522359,1,0.2344937975190076,0.024971623155505107,0.43460118761033545,0.06963788300835655,0.434624145785877,0.06130268199233717,0.043615898698557864,0.18617817396713957,0.16956283132420935,12,0.5821642803671392,0.45956091147433853,0.6718739875087877,0.4839292152700169,0.6831970433796096,0.5557145701301364,0.4996174514081747,0.5622939227911719,0.08253736228200682,1,0.7518281004276783,0.3055134019833675,0.5125668707974258,0.5525282162972002,0.6296687878723309,0.3812749093576964,0.5456969589521263,0.5255824636696894,0.13762069266335897,6,0.2850194552529183,0.6875,0.8176328502415459,0.3215434083601286,0.8238341968911918,0.5714285714285714,0.35428571428571426,0.5516063137800099,0.21602614487008887,1,0.1991842284160435,0.012716763005780347,0.29595628415300546,0.03904724716907458,0.29517326732673266,0.032388663967611336,0.023238380809595203,0.12824354783540615,0.12103266103641477,12
1,1088.7573595728193,170.24743795794188,137.0725005694798,44.22556043675515,1,,rbf,"{'clf__C': 1, 'clf__class_weight': None, 'trans__kernel': 'rbf'}",0.8211608222490931,0.4670398009950249,0.5865520338765559,0.6443901812106413,0.6749476987447699,0.5272660729535196,0.6098682575192642,0.6187464096498384,0.1050759105680933,1,0.500743501188692,0.5031056722084348,0.6225213366072672,0.5007550630515798,0.6300917455876023,0.510370649203874,0.4720755557513173,0.5342376462283953,0.05931504064236601,3,0.006715916722632638,0.05303867403314917,0.541548093340922,0.12960050330292544,0.46948356807511743,0.07141145458902468,0.09669064748201439,0.19549840822082656,0.2000910281666807,11,0.5461526663106473,0.4734228522082792,0.6783077429894006,0.4856529043821185,0.6838230018654039,0.5825570568852139,0.43083264987067643,0.55439269635882,0.09220832919842618,3,0.7425355848741714,0.31924623554995896,0.5753930759638876,0.5636152200401099,0.6405164806174709,0.3880963175228731,0.5341748650900557,0.5376539685226468,0.13348993160514247,3,0.2777777777777778,0.6,0.7757847533632287,0.3333333333333333,0.7565337001375516,0.6742081447963801,0.20817843866171004,0.5179737354385688,0.22112510309681677,2,0.003399048266485384,0.027745664739884393,0.41595628415300545,0.08043732916829363,0.34034653465346537,0.03770242914979757,0.06296851574212893,0.13836511512472296,0.15467897857725488,11
2,1155.3842066696711,157.2108615900442,129.88586565426417,41.54941892242706,1,,sigmoid,"{'clf__C': 1, 'clf__class_weight': None, 'trans__kernel': 'sigmoid'}",0.7912938331318017,0.4620646766169154,0.41293468497369434,0.6689371546073769,0.5759675732217573,0.5168964255215323,0.6703952274422073,0.5854985107878978,0.12324913488616404,5,0.4985609412509078,0.5,0.5,0.49975662793359277,0.4994181823073612,0.4995030769707634,0.5130086035450107,0.5014639188582336,0.004734944887253822,12,0.07004310344827587,0.0,0.0,0.00923076923076923,0.009770992366412214,0.025110782865583457,0.08425414364640886,0.02834425593677852,0.032054083667913125,15,0.5047801147227533,0.48303549895362496,0.6647675133385635,0.4698381708533993,0.6613252103063567,0.44172168495443553,0.5617650453315551,0.5410333197800984,0.08436289482796185,10,0.7379515359078634,0.2920578942801941,0.2413629672591678,0.5405789148357518,0.4257636886574369,0.3636819883593399,0.562015093730344,0.4519160118614426,0.16042605259965975,11,0.16883116883116883,0.0,0.0,0.3076923076923077,0.37209302325581395,0.4636363636363636,0.5350877192982456,0.2639057975305571,0.19834507915522265,15,0.04418762746430999,0.0,0.0,0.004685669660288949,0.0049504950495049506,0.012904858299595142,0.04572713643178411,0.01606511241506902,0.01870790832756168,16
3,1122.3896884577614,165.288812051526,132.71408564703805,41.33679712416658,1,,poly,"{'clf__C': 1, 'clf__class_weight': None, 'trans__kernel': 'poly'}",0.7175332527206771,0.4620646766169154,0.41293468497369434,0.6664953090862357,0.5774058577405857,0.5178723923386604,0.6682823763360676,0.5746555071161195,0.10668832847812233,7,0.4989833851081191,0.5,0.5,0.49962736808089514,0.5000414783326159,0.5000261977654111,0.4999070286351804,0.4997979225603174,0.0003580829500458003,13,0.16749821810406273,0.0,0.0,0.02186204297022239,0.0006184291898577613,0.0015159171298635677,0.0,0.027356372484858067,0.0576909062424962,16,0.48650439356609504,0.5138946156419453,0.6781674800558335,0.47716379347746407,0.6519749992152748,0.4336682713170532,0.5826682698070823,0.5462916890115356,0.08616448818004549,8,0.7120865682363421,0.2920578942801941,0.2413629672591678,0.5432015191690899,0.422951920232805,0.35403010774764143,0.5355021410914658,0.4430275882881008,0.1524856648574452,13,0.1760299625468165,0.0,0.0,0.31521739130434784,0.5,0.5,0.0,0.21303533626445206,0.21134270409313702,16,0.15975526852481306,0.0,0.0,0.011323701679031628,0.0003094059405940594,0.0007591093117408907,0.0,0.024592497922311378,0.055313531464761145,15
4,1412.688438960484,182.6264624090533,139.2449780532292,45.01112045310668,1,balanced,linear,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'trans__kernel': 'linear'}",0.6761789600967352,0.48134328358208955,0.5882201976132426,0.5441459966585271,0.511244769874477,0.5155544711479809,0.3835446184439473,0.5286046139167142,0.08393998373879039,11,0.5574711120892033,0.4875469701802566,0.5034722717500942,0.48064090595597686,0.5525844364327737,0.5122494372994187,0.47710158494571975,0.5101523883790634,0.030619438322460033,10,0.2907838983050848,0.45703125,0.7384464911565735,0.2985960055368796,0.5863213811420983,0.455206475511044,0.448153093012906,0.46779122780922655,0.14536756182462468,5,0.5836427338806672,0.49425699593119593,0.6346651180008627,0.48912930623065404,0.6144087319737409,0.5208780990257651,0.49776346021857043,0.5478206350373508,0.057077038352080216,5,0.70136068068074,0.47853582256130067,0.44696128607822644,0.5426266487839049,0.48039859668273227,0.5114782473899671,0.35033091501970215,0.5016703138852249,0.09894749078823713,8,0.23817787418655098,0.5230998509687034,0.5887704704964908,0.30248397435897434,0.4564093728463129,0.4971531315552892,0.31867088607594934,0.41782365149832446,0.1215936057517812,8,0.37321549966009515,0.40578034682080927,0.9901639344262295,0.2948067161265131,0.8196163366336634,0.41978744939271256,0.7548725637181409,0.5797489781111663,0.24967006858094987,5
5,1324.6983635084969,181.96885368058503,131.35617641040258,42.537026520652944,1,balanced,rbf,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'trans__kernel': 'rbf'}",0.8177750906892383,0.4595771144278607,0.6213268317721031,0.5230690142655186,0.5725679916317992,0.5301939734049043,0.42654735272184935,0.5644367669876105,0.11974723362177686,8,0.5050771252500542,0.4804137265732579,0.5595973468909515,0.48701017023702126,0.5948609466924953,0.5256676406632237,0.47735067014651844,0.5185682323505032,0.04120843031005762,7,0.037060702875399365,0.2906122448979592,0.7391957578435705,0.3449249779346867,0.5936606587942821,0.45024982155603144,0.42078835048958074,0.41092750205593004,0.2075033264094756,8,0.5466891950059837,0.459042780790266,0.6580452169660413,0.4969017281024983,0.650395879856328,0.5493342369923178,0.4201905648142831,0.5400856575039598,0.08368271593999557,11,0.7459858611720659,0.41672063069476173,0.5615782424617012,0.5328429065285925,0.567968969871506,0.5225392931927265,0.4284112680394554,0.5394353102801157,0.10119413800842432,2,0.30851063829787234,0.49444444444444446,0.6204747774480712,0.31475515463917525,0.4961562435071681,0.5165411071077629,0.31634579086447717,0.4381754509012817,0.115133581857423,5,0.01971447994561523,0.20578034682080926,0.9140983606557377,0.3814916048418586,0.7388613861386139,0.39903846153846156,0.6281859070464768,0.46959579242679617,0.2878416695353663,8
6,1469.1741300651006,198.34205197574713,144.21244604246957,47.201912046239194,1,balanced,sigmoid,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'trans__kernel': 'sigmoid'}",0.7183796856106409,0.5174129353233831,0.5865520338765559,0.36139313712890375,0.4375,0.46077833353665976,0.3709917971662938,0.4932868460917768,0.1173932675593876,14,0.538387398314764,0.5070258831949837,0.5008993469113286,0.5034558309807741,0.5093404720906873,0.46228910649823796,0.49698630602883753,0.5026263348599448,0.02072218201429341,11,0.24652216111290848,0.5894179894179894,0.7381764992686495,0.48651441562467707,0.5939210874079668,0.47431018078020937,0.4787310742609949,0.5153704868390565,0.14012047828416568,2,0.5506030248579964,0.4844062891418168,0.6671150325865096,0.4628021860474162,0.5604232807791649,0.4517719703580778,0.5515650272669541,0.5326695444339908,0.06895103358593273,13,0.7236073435145864,0.5087245426724502,0.44065971290782197,0.26454905496267644,0.30010759442898705,0.45992433265877986,0.29717950533876314,0.4278217266405807,0.14893241173961833,14,0.2351851851851852,0.5434146341463415,0.5875048506014746,0.3308038223721192,0.4273295300190166,0.44748653500897667,0.330066751881835,0.4145416156021356,0.11593728833634603,10,0.2590074779061863,0.6439306358381502,0.9927868852459016,0.9191721983600156,0.9733910891089109,0.5045546558704453,0.8710644677661169,0.7377010585851039,0.2573585115845917,3
7,1430.5696211201805,166.18340153002103,157.349889925548,49.91816257035787,1,balanced,poly,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'trans__kernel': 'poly'}",0.5051995163240629,0.5304726368159204,0.5855254715770564,0.33838838195604676,0.4235094142259414,0.4645602049530316,0.33830474770072083,0.4551371962218257,0.0874658980085269,15,0.5147490898459595,0.49477201471926807,0.4988728701599948,0.5019240119625207,0.5002948324723777,0.47242877426646257,0.49727678927364133,0.4971883403857463,0.011724071744428292,15,0.2757522123893806,0.688659793814433,0.7384191771946873,0.4938053097345132,0.5936030970596369,0.5550035486160397,0.49275914634146345,0.5482860407357363,0.14055005935035783,1,0.5135162536898846,0.4309252444783295,0.6603003596572559,0.46071151265444976,0.5103006394389439,0.4527593191322966,0.5675685074903976,0.5137259766487939,0.07346356995114506,16,0.5622558339599784,0.39148392112190494,0.43452050846242257,0.19288677746315008,0.2557871746878811,0.4374313563485555,0.19588432293549005,0.3528928421399118,0.13028271264672378,16,0.1864082316343623,0.5352564102564102,0.5865174321368841,0.3300039426994349,0.42273861100170673,0.46303501945525294,0.330352580480327,0.4077588896663397,0.12678652425539727,12,0.5295717199184229,0.9653179190751445,0.9965027322404372,0.9804763764154627,0.9962871287128713,0.6925607287449392,0.9692653673163418,0.8757117103462314,0.1733053754632742,1
8,1118.8870774337224,132.34586193309858,111.81372625487191,36.47374798279786,10,,linear,"{'clf__C': 10, 'clf__class_weight': None, 'trans__kernel': 'linear'}",0.7544135429262394,0.4651741293532338,0.5658924675991274,0.6542860814805295,0.6737709205020921,0.5225082347200195,0.5794183445190156,0.6022091030143225,0.09100111932675464,4,0.513954945387758,0.5019410451302717,0.6123917037701182,0.5011689863125186,0.6282846355287702,0.5056634859777877,0.45855219470963665,0.5317081424024087,0.05855506449927501,4,0.16932515337423315,0.03370786516853932,0.482958887360538,0.09182984469952736,0.4642473695512132,0.06497849976110845,0.13585291113381,0.20612864729270994,0.17413867191096186,10,0.5082695509766753,0.44992336956098933,0.6784808811093338,0.4917837710065961,0.6873178316472952,0.5675716370295132,0.44659450211673635,0.5471345062067342,0.09369662091063646,7,0.733782898754026,0.3093565618918652,0.5419836050886769,0.557865012318072,0.6381840179202481,0.383165545124899,0.5276884730171274,0.5274323020164164,0.13328508266411754,4,0.21252566735112938,0.6,0.8028455284552846,0.33915211970074816,0.7585964912280702,0.5811965811965812,0.21314102564102563,0.5010653447961199,0.22865260710801916,4,0.14072059823249491,0.017341040462427744,0.3453551912568306,0.05310425614994143,0.3344678217821782,0.03441295546558704,0.09970014992503748,0.14644314475349965,0.12821143323773357,10
9,1270.3295285701752,169.4460041071851,115.99847902570453,36.427068732043026,10,,rbf,"{'clf__C': 10, 'clf__class_weight': None, 'trans__kernel': 'rbf'}",0.8120918984280532,0.4670398009950249,0.6432696009239061,0.6423338902454697,0.6748169456066946,0.5316579236305966,0.49589858314690527,0.6095869489966643,0.1113474338221545,3,0.5064152974069746,0.5032954978644614,0.6593057494217975,0.502305470653974,0.6393526241211078,0.5155016559133632,0.41534016368535703,0.5345023512952908,0.07921896480800462,2,0.057038834951456306,0.048834628190899,0.6511919698870766,0.14553269880257907,0.5160537069468768,0.11564155724487443,0.18815052041633307,0.2460634166342993,0.221076450635034,9,0.5256710383190074,0.4750301464925042,0.6936640549912209,0.5045968035115593,0.6820746060679437,0.5851455391672985,0.41545348560379536,0.5545193820219042,0.09677063426312345,2,0.7464836077928989,0.3172807995891414,0.6444970688042293,0.567036513403455,0.6541059786652494,0.4086788882508299,0.4864686677423997,0.5463645034640291,0.139763778735804,1,0.2655367231638418,0.6111111111111112,0.7643593519882179,0.34051724137931033,0.6953329837441007,0.6452442159383034,0.20189003436426117,0.5034273802413066,0.2106715467750036,3,0.03195105370496261,0.025433526011560695,0.5672131147540984,0.09254197579070675,0.41027227722772275,0.06351214574898785,0.17616191904047976,0.1952980017540741,0.19579999209319926,9
