,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__learning_rate_init,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall
77,36.076335835456845,1.884877389739119,0.0425283670425415,0.002524373392292811,tanh,0.0001,"(60,)",adaptive,0.0001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (60,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001}",0.6587301587301587,0.6730158730158731,0.6494047619047619,0.6602500496130185,0.6535026791029966,0.6622345703512602,0.6578686247271284,0.6511212542171065,0.6638221869418536,0.6499305417741615,0.657988070037832,0.006996105297219226,31,0.5607474043621361,0.5759060407702205,0.5487575554745776,0.5613598559299882,0.5502471894491812,0.5630819019168534,0.562443433663642,0.5559696586599241,0.5661995428294232,0.5579011330155348,0.5602613716071481,0.007421511897959133,25,0.28807947019867547,0.3262469337694195,0.26221294363256786,0.2931461601981833,0.25575447570332477,0.2902418682235196,0.28583264291632143,0.2818627450980392,0.3068739770867431,0.28,0.28702512168267946,0.019110666596566756,19,0.643415069200381,0.6602674199136964,0.6300378512780036,0.6473713333265441,0.6460629400624925,0.6429287771867522,0.6466671139842578,0.6401515381373788,0.6524448842449398,0.6509726705091419,0.6460319597843587,0.007597707378148945,40,0.5957621007359009,0.6171440109156453,0.5835544422584694,0.5995455663320386,0.5839533295173324,0.5987826901706169,0.5919468001839295,0.5881101691747703,0.6059361660091018,0.5838784445145381,0.5948613719812343,0.010386659713176252,16,0.6247755834829444,0.65625,0.5772058823529411,0.6141868512110726,0.6036217303822937,0.6397058823529411,0.6534090909090909,0.6020942408376964,0.6218905472636815,0.6305147058823529,0.6223654514675016,0.02313769777972996,43,0.18719741796664874,0.21708378672470077,0.16963803349540788,0.19251626898047722,0.16224986479177933,0.18770226537216828,0.18292682926829268,0.184,0.20369364475828355,0.17995802728226654,0.1866966138640025,0.014842304790052304,19
78,40.35599148273468,2.5609300317094434,0.04658682346343994,0.0003601708922290612,tanh,0.0001,"(70,)",constant,0.0001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (70,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001}",0.6555555555555556,0.6700396825396825,0.6503968253968254,0.6580670768009526,0.6548918436197658,0.6606469537606668,0.6572732685056559,0.648144473109744,0.6660051597539194,0.6505258979956341,0.6571546737038403,0.006602026922650877,43,0.5552144515943999,0.5695078701491655,0.5503348473505715,0.5597530713323082,0.5519127512796038,0.5605863007388666,0.5618611640549037,0.5525128529287822,0.5678041239109587,0.559201811672716,0.5588689245012276,0.006170850815980334,40,0.26997476871320436,0.30447511501463825,0.26705490848585695,0.2924024640657084,0.25968497232865045,0.2827181208053691,0.2848861283643892,0.2742529676627098,0.3076923076923077,0.2850182704019488,0.28281600235347837,0.01486833022981477,31,0.6412961811481871,0.6587300238765353,0.6333384664565643,0.6454837242301726,0.6443422777032743,0.6441728097761386,0.6475585540408417,0.6398503160556257,0.6552355338871151,0.6508129116010757,0.6460820798775531,0.0070674365640440795,37,0.5884719078836845,0.6089458511871422,0.5855742865549237,0.5981197053817113,0.5859134415791766,0.5956121506890768,0.591329206236088,0.5841397320987062,0.6073874825041384,0.5857760897718808,0.5931269853886528,0.008680369871843865,40,0.6184971098265896,0.6582278481012658,0.5804701627486437,0.6023688663282571,0.61,0.6358490566037736,0.6502835538752363,0.5897887323943662,0.6338983050847458,0.63016157989228,0.6209545214855159,0.024094415027869596,52,0.17267348036578806,0.19804134929270947,0.17341977309562398,0.19305856832971802,0.16495402920497565,0.18176914778856526,0.1823966065747614,0.17866666666666667,0.20315046170559478,0.18415529905561384,0.18322853820800172,0.011309297886783401,28
79,40.682582998275755,2.267108385216298,0.046588015556335446,0.0005191138159127953,tanh,0.0001,"(70,)",invscaling,0.0001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (70,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.0001}",0.6555555555555556,0.6700396825396825,0.6503968253968254,0.6580670768009526,0.6548918436197658,0.6606469537606668,0.6572732685056559,0.648144473109744,0.6660051597539194,0.6505258979956341,0.6571546737038403,0.006602026922650877,43,0.5552144515943999,0.5695078701491655,0.5503348473505715,0.5597530713323082,0.5519127512796038,0.5605863007388666,0.5618611640549037,0.5525128529287822,0.5678041239109587,0.559201811672716,0.5588689245012276,0.006170850815980334,40,0.26997476871320436,0.30447511501463825,0.26705490848585695,0.2924024640657084,0.25968497232865045,0.2827181208053691,0.2848861283643892,0.2742529676627098,0.3076923076923077,0.2850182704019488,0.28281600235347837,0.01486833022981477,31,0.6412961811481871,0.6587300238765353,0.6333384664565643,0.6454837242301726,0.6443422777032743,0.6441728097761386,0.6475585540408417,0.6398503160556257,0.6552355338871151,0.6508129116010757,0.6460820798775531,0.0070674365640440795,37,0.5884719078836845,0.6089458511871422,0.5855742865549237,0.5981197053817113,0.5859134415791766,0.5956121506890768,0.591329206236088,0.5841397320987062,0.6073874825041384,0.5857760897718808,0.5931269853886528,0.008680369871843865,40,0.6184971098265896,0.6582278481012658,0.5804701627486437,0.6023688663282571,0.61,0.6358490566037736,0.6502835538752363,0.5897887323943662,0.6338983050847458,0.63016157989228,0.6209545214855159,0.024094415027869596,52,0.17267348036578806,0.19804134929270947,0.17341977309562398,0.19305856832971802,0.16495402920497565,0.18176914778856526,0.1823966065747614,0.17866666666666667,0.20315046170559478,0.18415529905561384,0.18322853820800172,0.011309297886783401,28
80,40.79225583076477,2.811997877188948,0.04511890411376953,0.00422351675357755,tanh,0.0001,"(70,)",adaptive,0.0001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (70,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001}",0.6555555555555556,0.6700396825396825,0.6503968253968254,0.6580670768009526,0.6548918436197658,0.6606469537606668,0.6572732685056559,0.648144473109744,0.6660051597539194,0.6505258979956341,0.6571546737038403,0.006602026922650877,43,0.5552144515943999,0.5695078701491655,0.5503348473505715,0.5597530713323082,0.5519127512796038,0.5605863007388666,0.5618611640549037,0.5525128529287822,0.5678041239109587,0.559201811672716,0.5588689245012276,0.006170850815980334,40,0.26997476871320436,0.30447511501463825,0.26705490848585695,0.2924024640657084,0.25968497232865045,0.2827181208053691,0.2848861283643892,0.2742529676627098,0.3076923076923077,0.2850182704019488,0.28281600235347837,0.01486833022981477,31,0.6412961811481871,0.6587300238765353,0.6333384664565643,0.6454837242301726,0.6443422777032743,0.6441728097761386,0.6475585540408417,0.6398503160556257,0.6552355338871151,0.6508129116010757,0.6460820798775531,0.0070674365640440795,37,0.5884719078836845,0.6089458511871422,0.5855742865549237,0.5981197053817113,0.5859134415791766,0.5956121506890768,0.591329206236088,0.5841397320987062,0.6073874825041384,0.5857760897718808,0.5931269853886528,0.008680369871843865,40,0.6184971098265896,0.6582278481012658,0.5804701627486437,0.6023688663282571,0.61,0.6358490566037736,0.6502835538752363,0.5897887323943662,0.6338983050847458,0.63016157989228,0.6209545214855159,0.024094415027869596,52,0.17267348036578806,0.19804134929270947,0.17341977309562398,0.19305856832971802,0.16495402920497565,0.18176914778856526,0.1823966065747614,0.17866666666666667,0.20315046170559478,0.18415529905561384,0.18322853820800172,0.011309297886783401,28
81,47.667019271850585,2.997230686041987,0.05135698318481445,0.0005509214186723984,tanh,0.0001,"(80,)",constant,0.0001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (80,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001}",0.6545634920634921,0.6688492063492063,0.6511904761904762,0.6622345703512602,0.65509029569359,0.6588608850962493,0.6586624330224251,0.6519150625124033,0.6622345703512602,0.6499305417741615,0.6573531533404525,0.005651128081392895,40,0.5556580990648652,0.5683391908892633,0.5500553208379899,0.5645299732839069,0.5533199340149976,0.561540155021431,0.5641430723453803,0.5579054361567636,0.5631048601464997,0.5595449416545062,0.5598140983415603,0.0053465947627795605,28,0.2760914760914761,0.30254910154617637,0.26258389261744963,0.3024590163934426,0.2666666666666667,0.2940451745379877,0.29218106995884774,0.2893030794165316,0.29669421487603304,0.2892828364222401,0.2871856528526851,0.013378972322767852,16,0.6403786163779394,0.6604918783757976,0.6333652332377692,0.6508607198748043,0.6459462964815346,0.6440202269605876,0.6509147812902859,0.641343615676359,0.6575684354595605,0.65417370984634,0.6479063513580978,0.007993336434855001,28,0.5898164227512762,0.6077118270774114,0.5846385690764886,0.6034495623204463,0.5881693590890552,0.598098043340307,0.594355687568539,0.5908285234415875,0.6019953527213651,0.5867839582936382,0.5945847305680114,0.007456541235145567,22,0.608058608058608,0.6522522522522523,0.5872420262664165,0.6191275167785235,0.6065259117082533,0.6161790017211703,0.6525735294117647,0.6020236087689713,0.6200345423143351,0.6232638888888888,0.6187280886169184,0.019574125289013124,55,0.17859064012910167,0.1969532100108814,0.1690977849810913,0.20010845986984815,0.17090319091400757,0.1930960086299892,0.18822905620360553,0.1904,0.19500271591526344,0.18835257082896117,0.18707336374827493,0.010184610921842894,13
