,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__splitter': 'best'}",4,0.5750998087930019,4,0.5750717900952502,4,0.5799662264386869,4,0.5736868359607084,4,0.5750680039267524,4,0.5794988210087305,3,0.5805659091566102
1,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__splitter': 'random'}",6,0.5682937610448029,6,0.5683171283033366,8,0.5705347386893702,6,0.5669322615413445,6,0.5683003267610359,6,0.5737115587931179,8,0.5674478530940681
2,"{'clf__class_weight': None, 'clf__criterion': 'entropy', 'clf__splitter': 'best'}",1,0.5769055769757795,1,0.5768728423946669,1,0.5820336513363807,1,0.5755061982348219,1,0.5768884351727469,1,0.5811952706527803,1,0.5829576730436621
3,"{'clf__class_weight': None, 'clf__criterion': 'entropy', 'clf__splitter': 'random'}",5,0.5693052917402988,5,0.5692766275139035,5,0.5745722185268833,5,0.5678651612042525,5,0.5692854832983325,5,0.5737232238816766,6,0.5755181281903423
4,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__splitter': 'best'}",3,0.5757351034943315,3,0.5757194344400466,2,0.5805129878897477,3,0.5743416649952555,3,0.5757012586347036,3,0.5801862272071808,2,0.5809918316861117
5,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__splitter': 'random'}",8,0.567499436931616,8,0.5674444888880494,7,0.5727194564850664,8,0.5660313784667999,8,0.5674754234477953,7,0.5718625708543101,7,0.5736558389361041
6,"{'clf__class_weight': 'balanced', 'clf__criterion': 'entropy', 'clf__splitter': 'best'}",2,0.5758139370056418,2,0.5758152136605375,3,0.5801254795668658,2,0.5744496792867616,2,0.5757864902275274,2,0.580421867042259,4,0.5799822407097572
7,"{'clf__class_weight': 'balanced', 'clf__criterion': 'entropy', 'clf__splitter': 'random'}",7,0.5677178326513512,7,0.5676385631380688,6,0.5738996983806391,7,0.5662207052560835,7,0.5676884531715058,8,0.571748446084919,5,0.5761178844807975
